"","date","value","Pmm"
"540","2016-03-23T00:00:00",0,0
"541","2016-03-24T00:00:00",0,0
"542","2016-03-25T00:00:00",38,3.8
"543","2016-03-26T00:00:00",0,0
"544","2016-03-27T00:00:00",5,0.5
"545","2016-03-28T00:00:00",10,1
"546","2016-03-29T00:00:00",0,0
"547","2016-03-30T00:00:00",0,0
"548","2016-03-31T00:00:00",0,0
"549","2016-04-01T00:00:00",239,23.9
"550","2016-04-02T00:00:00",0,0
"551","2016-04-03T00:00:00",0,0
"552","2016-04-04T00:00:00",0,0
"553","2016-04-05T00:00:00",0,0
"554","2016-04-06T00:00:00",0,0
"555","2016-04-07T00:00:00",155,15.5
"556","2016-04-08T00:00:00",5,0.5
"557","2016-04-09T00:00:00",0,0
"558","2016-04-10T00:00:00",0,0
"559","2016-04-11T00:00:00",0,0
"560","2016-04-12T00:00:00",20,2
"561","2016-04-13T00:00:00",8,0.8
"562","2016-04-14T00:00:00",0,0
"563","2016-04-15T00:00:00",0,0
"564","2016-04-16T00:00:00",0,0
"565","2016-04-17T00:00:00",0,0
"566","2016-04-18T00:00:00",0,0
"567","2016-04-19T00:00:00",0,0
"568","2016-04-20T00:00:00",0,0
"569","2016-04-21T00:00:00",0,0
"570","2016-04-22T00:00:00",25,2.5
"571","2016-04-23T00:00:00",127,12.7
"572","2016-04-24T00:00:00",0,0
"573","2016-04-25T00:00:00",0,0
"574","2016-04-26T00:00:00",0,0
"575","2016-04-27T00:00:00",0,0
"576","2016-04-28T00:00:00",0,0
"577","2016-04-29T00:00:00",0,0
"578","2016-04-30T00:00:00",0,0
"579","2016-05-01T00:00:00",140,14
"580","2016-05-02T00:00:00",13,1.3
"581","2016-05-03T00:00:00",170,17
"582","2016-05-04T00:00:00",18,1.8
"583","2016-05-05T00:00:00",13,1.3
"584","2016-05-06T00:00:00",5,0.5
"585","2016-05-07T00:00:00",0,0
"586","2016-05-08T00:00:00",0,0
"587","2016-05-09T00:00:00",0,0
"588","2016-05-10T00:00:00",0,0
"589","2016-05-11T00:00:00",0,0
"590","2016-05-12T00:00:00",0,0
"591","2016-05-13T00:00:00",84,8.4
"592","2016-05-14T00:00:00",0,0
"593","2016-05-15T00:00:00",0,0
"594","2016-05-16T00:00:00",0,0
"595","2016-05-17T00:00:00",5,0.5
"596","2016-05-18T00:00:00",25,2.5
"597","2016-05-19T00:00:00",0,0
"598","2016-05-20T00:00:00",5,0.5
"599","2016-05-21T00:00:00",64,6.4
"600","2016-05-22T00:00:00",0,0
"601","2016-05-23T00:00:00",0,0
"602","2016-05-24T00:00:00",0,0
"603","2016-05-25T00:00:00",0,0
"604","2016-05-26T00:00:00",0,0
"605","2016-05-27T00:00:00",0,0
"606","2016-05-28T00:00:00",25,2.5
"607","2016-05-29T00:00:00",0,0
"608","2016-05-30T00:00:00",0,0
"609","2016-05-31T00:00:00",91,9.1
"610","2016-06-01T00:00:00",5,0.5
"611","2016-06-02T00:00:00",8,0.8
"612","2016-06-03T00:00:00",18,1.8
"613","2016-06-04T00:00:00",8,0.8
"614","2016-06-05T00:00:00",25,2.5
"615","2016-06-06T00:00:00",127,12.7
"616","2016-06-07T00:00:00",0,0
"617","2016-06-08T00:00:00",0,0
"618","2016-06-09T00:00:00",0,0
"619","2016-06-10T00:00:00",0,0
"620","2016-06-11T00:00:00",0,0
"621","2016-06-12T00:00:00",0,0
"622","2016-06-13T00:00:00",0,0
"623","2016-06-14T00:00:00",0,0
"624","2016-06-15T00:00:00",53,5.3
"625","2016-06-16T00:00:00",10,1
"626","2016-06-17T00:00:00",0,0
"627","2016-06-18T00:00:00",0,0
"628","2016-06-19T00:00:00",0,0
"629","2016-06-20T00:00:00",0,0
"630","2016-06-21T00:00:00",0,0
"631","2016-06-22T00:00:00",0,0
"632","2016-06-23T00:00:00",0,0
"633","2016-06-24T00:00:00",56,5.6
"634","2016-06-25T00:00:00",3,0.3
"635","2016-06-26T00:00:00",0,0
"636","2016-06-27T00:00:00",74,7.4
"637","2016-06-28T00:00:00",25,2.5
"638","2016-06-29T00:00:00",0,0
"639","2016-06-30T00:00:00",0,0
"640","2016-07-01T00:00:00",0,0
"641","2016-07-02T00:00:00",0,0
"642","2016-07-03T00:00:00",0,0
"643","2016-07-04T00:00:00",0,0
"644","2016-07-05T00:00:00",0,0
"645","2016-07-06T00:00:00",127,12.7
"646","2016-07-07T00:00:00",104,10.4
"647","2016-07-08T00:00:00",64,6.4
"648","2016-07-09T00:00:00",76,7.6
"649","2016-07-10T00:00:00",0,0
"650","2016-07-11T00:00:00",0,0
"651","2016-07-12T00:00:00",15,1.5
"652","2016-07-13T00:00:00",10,1
"653","2016-07-14T00:00:00",0,0
"654","2016-07-15T00:00:00",5,0.5
"655","2016-07-16T00:00:00",127,12.7
"656","2016-07-17T00:00:00",51,5.1
"657","2016-07-18T00:00:00",0,0
"658","2016-07-19T00:00:00",10,1
"659","2016-07-20T00:00:00",249,24.9
"660","2016-07-21T00:00:00",0,0
"661","2016-07-22T00:00:00",25,2.5
"662","2016-07-23T00:00:00",8,0.8
"663","2016-07-24T00:00:00",28,2.8
"664","2016-07-25T00:00:00",0,0
"665","2016-07-26T00:00:00",15,1.5
"666","2016-07-27T00:00:00",97,9.7
"667","2016-07-28T00:00:00",0,0
"668","2016-07-29T00:00:00",79,7.9
"669","2016-07-30T00:00:00",0,0
"670","2016-07-31T00:00:00",10,1
"671","2016-08-01T00:00:00",10,1
"672","2016-08-02T00:00:00",89,8.9
"673","2016-08-03T00:00:00",345,34.5
"674","2016-08-04T00:00:00",0,0
